Date,Energy.Price
12/09/2015,57.58
13/09/2015,64.46
14/09/2015,43.94
15/09/2015,59.32
16/09/2015,35.52
17/09/2015,45.18
18/09/2015,61.29
19/09/2015,54.03
20/09/2015,52.48
21/09/2015,64.3
22/09/2015,57.97
23/09/2015,50.32
24/09/2015,55.79
25/09/2015,61.61
26/09/2015,60.01
27/09/2015,56.98
28/09/2015,55.22
29/09/2015,60.02
30/09/2015,56.2
01/10/2015,63.86
02/10/2015,65.27
03/10/2015,59.39
04/10/2015,53.81
05/10/2015,44.43
06/10/2015,42.27
07/10/2015,63.06
08/10/2015,61.31
09/10/2015,59.07
10/10/2015,61.71
11/10/2015,60.24
12/10/2015,55.6
13/10/2015,49.81
14/10/2015,50.1
15/10/2015,52.74
16/10/2015,63.82
17/10/2015,63.46
18/10/2015,56.38
19/10/2015,58.42
20/10/2015,53.44
21/10/2015,49.93
22/10/2015,53.31
23/10/2015,59.22
24/10/2015,60.18
25/10/2015,57.77
26/10/2015,53.1
27/10/2015,51.54
28/10/2015,46.25
29/10/2015,50.28
30/10/2015,56.53
31/10/2015,46.95
01/11/2015,63.39
02/11/2015,42.89
03/11/2015,50.83
04/11/2015,55.06
05/11/2015,56.43
06/11/2015,59.56
07/11/2015,64.79
08/11/2015,53.4
09/11/2015,67.92
10/11/2015,67.05
11/11/2015,67.43
12/11/2015,67.58
13/11/2015,65.2
14/11/2015,55.23
15/11/2015,59.67
16/11/2015,63.66
17/11/2015,63.59
18/11/2015,65.09
19/11/2015,66.19
20/11/2015,64.81
21/11/2015,40.71
22/11/2015,47.09
23/11/2015,58.48
24/11/2015,58.72
25/11/2015,51.7
26/11/2015,48.31
27/11/2015,48.49
28/11/2015,54.87
29/11/2015,58.31
30/11/2015,63.75
01/12/2015,72.63
02/12/2015,74.59
03/12/2015,69.7
04/12/2015,69.04
05/12/2015,73.04
06/12/2015,58.84
07/12/2015,52.7
08/12/2015,56.21
09/12/2015,64.68
10/12/2015,69.02
11/12/2015,68.95
