Date,BTC,DOGE,ETH,LTC,MONERO
16/08/2013 23:59,108.9940033,,,2.717230082,
17/08/2013 23:59,113.5,,,2.819339991,
18/08/2013 23:59,113.5,,,2.797780037,
19/08/2013 23:59,119,,,2.822679996,
20/08/2013 23:59,121.2050018,,,2.78166008,
21/08/2013 23:59,123.3000031,,,2.695339918,
22/08/2013 23:59,121.1500015,,,2.752530098,
23/08/2013 23:59,118.5009995,,,2.720779896,
24/08/2013 23:59,120.0449982,,,2.689009905,
25/08/2013 23:59,122.1110001,,,2.593640089,
26/08/2013 23:59,120.0559998,,,2.565589905,
27/08/2013 23:59,126.5,,,2.573009968,
28/08/2013 23:59,122.6200027,,,2.522289991,
29/08/2013 23:59,122.3899994,,,2.545710087,
30/08/2013 23:59,133.4900055,,,2.664459944,
31/08/2013 23:59,135.3500061,,,2.583830118,
01/09/2013 23:59,138.3399963,,,2.584189892,
02/09/2013 23:59,135.8500061,,,2.558059931,
03/09/2013 23:59,136.7700043,,,2.604099989,
04/09/2013 23:59,126.7399979,,,2.813630104,
05/09/2013 23:59,126.4300003,,,2.754909992,
06/09/2013 23:59,119.1500015,,,2.690409899,
07/09/2013 23:59,124.1500015,,,2.705229998,
08/09/2013 23:59,121.6600037,,,2.727619886,
09/09/2013 23:59,127.1100006,,,2.727780104,
10/09/2013 23:59,125.9100037,,,2.644109964,
11/09/2013 23:59,135.25,,,2.71717,
12/09/2013 23:59,133.1300049,,,2.695879936,
13/09/2013 23:59,134.9799957,,,2.672600031,
14/09/2013 23:59,129.2200012,,,2.541759968,
15/09/2013 23:59,130.3699951,,,2.639990091,
16/09/2013 23:59,131.7200012,,,2.633080006,
17/09/2013 23:59,131.6600037,,,2.601599932,
18/09/2013 23:59,131.4700012,,,2.555779934,
19/09/2013 23:59,129.6499939,,,2.617630005,
20/09/2013 23:59,127.0400009,,,2.477279902,
21/09/2013 23:59,127.4300003,,,2.510370016,
22/09/2013 23:59,129.1199951,,,2.529459953,
23/09/2013 23:59,125.9499969,,,2.471139908,
24/09/2013 23:59,127.25,,,2.468650103,
25/09/2013 23:59,128.2200012,,,2.370790005,
26/09/2013 23:59,128.3800049,,,2.391720057,
27/09/2013 23:59,133.7799988,,,2.400010109,
28/09/2013 23:59,134.7799988,,,2.248130083,
29/09/2013 23:59,137.3399963,,,2.297699928,
30/09/2013 23:59,133,,,2.35277009,
01/10/2013 23:59,132.1799927,,,2.422859907,
02/10/2013 23:59,114.1299973,,,1.965319991,
03/10/2013 23:59,123.6299973,,,2.168469906,
04/10/2013 23:59,129.0099945,,,2.198329926,
05/10/2013 23:59,128.5500031,,,2.145499945,
06/10/2013 23:59,129,,,2.167200089,
07/10/2013 23:59,126.9400024,,,2.098320007,
08/10/2013 23:59,126,,,1.980720043,
09/10/2013 23:59,130.6900024,,,1.923760056,
10/10/2013 23:59,130.5899963,,,2.026760101,
11/10/2013 23:59,130.8999939,,,2.065599918,
12/10/2013 23:59,135.1900024,,,2.122479916,
13/10/2013 23:59,138.1300049,,,2.128580093,
14/10/2013 23:59,140.5200043,,,2.054399967,
15/10/2013 23:59,145.2400055,,,1.96073997,
16/10/2013 23:59,142.5500031,,,1.920150042,
17/10/2013 23:59,146.25,,,1.914409995,
18/10/2013 23:59,155.9600067,,,1.902709961,
19/10/2013 23:59,172.4199982,,,1.884549975,
20/10/2013 23:59,174.6100006,,,1.929440022,
21/10/2013 23:59,182.2100067,,,1.822100043,
22/10/2013 23:59,193.7599945,,,1.697340012,
23/10/2013 23:59,213.6199951,,,2.050780058,
24/10/2013 23:59,198.2299957,,,2.269730091,
25/10/2013 23:59,186.6900024,,,2.176810026,
26/10/2013 23:59,177.3200073,,,2.212949991,
27/10/2013 23:59,196.4400024,,,2.129410028,
28/10/2013 23:59,198.5500031,,,2.176110029,
29/10/2013 23:59,204.3899994,,,2.12770009,
30/10/2013 23:59,199.9700012,,,2.293100119,
31/10/2013 23:59,204,,,2.360280037,
01/11/2013 23:59,206.1799927,,,2.453540087,
02/11/2013 23:59,206.2200012,,,2.701479912,
03/11/2013 23:59,215.0500031,,,2.883820057,
04/11/2013 23:59,229.1000061,,,3.081389904,
05/11/2013 23:59,245.2400055,,,3.038520098,
06/11/2013 23:59,262.5,,,3.386250019,
07/11/2013 23:59,296.4100037,,,4.389830112,
08/11/2013 23:59,338.1099854,,,4.605060101,
09/11/2013 23:59,339.1099854,,,4.215139866,
10/11/2013 23:59,326.6199951,,,3.932499886,
11/11/2013 23:59,342.4400024,,,4.003119946,
12/11/2013 23:59,360.3299866,,,3.981650114,
13/11/2013 23:59,407.3699951,,,4.114439964,
14/11/2013 23:59,420.2000122,,,4.286039829,
15/11/2013 23:59,417.9500122,,,4.208759785,
16/11/2013 23:59,440.2200012,,,4.30095005,
17/11/2013 23:59,492.1099854,,,4.089429855,
18/11/2013 23:59,703.5599976,,,9.371419907,
19/11/2013 23:59,584.6099854,,,8.02670002,
20/11/2013 23:59,590.8300171,,,7.976200104,
21/11/2013 23:59,722.4299927,,,9.348239899,
22/11/2013 23:59,771.4400024,,,10.12899971,
23/11/2013 23:59,797.8200073,,,10.61100006,
24/11/2013 23:59,774.25,,,10.4059,
25/11/2013 23:59,799.1099854,,,12.2663002,
26/11/2013 23:59,928.0999756,,,20.35320091,
